City,Province,Year,Make,Model,Price,Mileage,URL
Markham,ON,2009,Honda,civic,9000,195000,facebook.com/marketplace/item/920081679222800/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2017,Honda,civic,21900,142000,facebook.com/marketplace/item/282516087513334/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2006,Honda,civic,6000,190000,facebook.com/marketplace/item/955664849082384/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2007,Honda,civic,7500,134000,facebook.com/marketplace/item/1475374999903732/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2009,Honda,civic,8300,168000,facebook.com/marketplace/item/238341942141175/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2013,Honda,civic,12999,126000,facebook.com/marketplace/item/724978829383580/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2010,Honda,civic,9495,137000,facebook.com/marketplace/item/809527723956535/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2009,Honda,civic,10450,118000,facebook.com/marketplace/item/6229285803785233/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2009,Honda,civic,7900,180000,facebook.com/marketplace/item/795658318800946/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2009,Honda,civic,6999,180000,facebook.com/marketplace/item/6177439532372069/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Hamilton,ON,2005,Honda,civic,4500,192000,facebook.com/marketplace/item/537686991721582/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2016,Honda,civic,16999,168000,facebook.com/marketplace/item/209725528663097/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2010,Honda,civic,11450,144000,facebook.com/marketplace/item/785523903237098/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2016,Honda,civic,19999,122000,facebook.com/marketplace/item/1224903218228900/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Markham,ON,2012,Honda,civic,2500,100000,facebook.com/marketplace/item/1909159876127260/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2012,Honda,civic,10000,139000,facebook.com/marketplace/item/673547621266058/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2014,Honda,civic,13999,187000,facebook.com/marketplace/item/940261477089681/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Burlington,ON,2018,Honda,civic,20759,116000,facebook.com/marketplace/item/810237180754017/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2010,Honda,civic,8200,194000,facebook.com/marketplace/item/851556743176933/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Whitby,ON,2016,Honda,civic,16500,159000,facebook.com/marketplace/item/3239841752983737/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Hamilton,ON,2007,Honda,civic,8500,120000,facebook.com/marketplace/item/193385926599286/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2005,Honda,civic,7995,156000,facebook.com/marketplace/item/909331963494435/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Georgina,ON,2012,Honda,civic,11800,124000,facebook.com/marketplace/item/2420532008126052/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Ajax,ON,2018,Honda,civic,18900,83000,facebook.com/marketplace/item/122858717490771/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Mississauga,ON,2016,Honda,civic,16200,165000,facebook.com/marketplace/item/1325236211410019/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2018,Honda,civic,19499,73000,facebook.com/marketplace/item/208809965324879/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2012,Honda,civic,12999,110000,facebook.com/marketplace/item/140120075736950/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Vaughan,ON,2008,Honda,civic,6000,177000,facebook.com/marketplace/item/1400866210678237/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Brampton,ON,2019,Honda,civic,22500,130000,facebook.com/marketplace/item/593005805975214/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2012,Honda,civic,11990,149000,facebook.com/marketplace/item/1462500797830782/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2017,Honda,civic,19998,159000,facebook.com/marketplace/item/573250001555729/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2017,Honda,civic,15888,178000,facebook.com/marketplace/item/1388315538420903/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2014,Honda,civic,16990,76000,facebook.com/marketplace/item/672078831625639/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
Toronto,ON,2008,Honda,civic,9000,140000,facebook.com/marketplace/item/218892677615844/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD
